question,answer
What is the name of the online pujas and Diwali celebrations?,"No matter where they are, individuals can keep in touch and celebrate the holiday 
together thanks to online pujas and virtual Diwali celebrations."
What can be used to create Diwali cards?,"●​ Canva can be used to design beautiful Diwali cards, posters, or social media posts to 
share festive wishes creatively."
What is the name of the app that Blinkit uses to help people get Diwali essentials delivered to their homes?,"●​ Blinkit helps people get last-minute Diwali essentials like sweets, snacks, and diyas 
delivered quickly to their homes."
What does Zomato do to help people celebrate without cooking?,"●​ Zomato helps order delicious festive food and sweets from restaurants when people 
want to celebrate without cooking."
What is the purpose of fireworks?,"●​  Enjoy virtual fireworks shows or online celebrations instead of bursting crackers to 
prevent air and noise pollution."
What are the three apps that help during Diwali?,"Ans: Three mobile apps or websites that help during Diwali are Blinkit, Canva, and Zomato."
What can people send through social media?,"Through social media or WhatsApp, people can send electronic greetings, well 
wishes, and celebratory notes."
What do you do to make eco-friendly gifts?,"●​  Use online shopping platforms to buy eco-friendly diyas, decorations, and gifts safely 
from home."
What can you do to help reduce paper waste?,"Ans: 
●​  Send digital greetings or e-cards instead of paper cards to help reduce paper waste and 
protect the environment."
What is the main reason for Diwali?,"Ans: Diwali can be celebrated in a variety of entertaining and inventive ways using information 
technology."
What is the chance of online fraud?,There is a chance of online fraud or scams if payment links are fake.
What is the purpose of online shopping?,"Online shopping makes it simple for us to purchase clothing, 
decorations, and gifts."
What are some of the tips shared on social media?,●​  Share eco-friendly Diwali messages and tips on social media to inspire others.
What do many apps give to help save money?,"Many apps give cashback, discounts, or festive offers that help save money."